species_name,primary_strain,temperature_span_c,temperature_min_low_c,temperature_opt_low_c,temperature_max_high_c
Abditibacterium utsteinense,LMG 29911,44,1,15,45
Absicoccus porci,KCTC 15747T,10,30,37,40
Absiella argi,N6H1-5,20,20,37,40
Absiella dolichum,ATCC 29143,15,30,37,45
Abyssibacter profundi,KCTC 52933T,35,10,37,45
Abyssibius alkaniclasticus,960558T,33,4,28,37
Abyssicoccus albus,YIM M12140,35,5,28,40
Abyssivirga alkaniphila,L81T,28,14,37,42
Acanthopleuribacter pedis,FYK2218,15,15,30,30
Acaricomes phytoseiuli,DSM 14247T,15,15,25,30
Acaryochloris marina,MBIC11017,15,20,28,35
Acetanaerobacterium elongatum,Z7,22,20,37,42
Acetitomaculum ruminis,139B,9,34,38,43
Acetivibrio cellulolyticus,CD2,20,20,35,40
Acetoanaerobium pronyense,ST07-YET,25,15,35,40
Acetoanaerobium sticklandii,StadtmanHF,20,25,30,45
Acetobacter okinawensis,1-35,27,10,30,37
Acetobacter oryzifermentans,SLV-7,22,15,30,37
Acetobacter oryzoeni,KACC 21201T,30,15,30,45
Acetobacter papayae,1寧25擔,27,10,30,37
Acetobacter sacchari,VTH-Ai14,17,20,25,37
Acetobacter senegalensis,CWBI-B418,12,28,35,40
Acetobacter suratthaniensis,AI32,4,28,29,32
Acetobacterium bakii,Z-4391,29,1,20,30
Acetobacterium carbinolicum,WoProp1,25,15,20,40
Acetobacterium fimetarium,Z-4290,34,1,30,35
Acetobacterium malicum,MuME1,24,15,30,39
Acetobacterium paludosum,Z-4092,29,1,20,30
Acetobacterium tundrae,Z-4493,29,1,20,30
Acetobacterium wieringae,C,25,20,30,45
Acetobacteroides hydrogenigenes,JCM 17603T,15,25,37,40
Acetohalobium arabaticum,Z-7288,17,30,38,47
Acetomicrobium flavidum,TN,30,35,58,65
Acetomicrobium hydrogeniformans,DSM 22491T,25,40,55,65
Acetomicrobium mobile,NGA,30,35,55,65
Acetomicrobium thermoterrenum,DSM 13490T,32,28,55,60
Acetonema longum,APO-1,21,19,30,40
Acholeplasma axanthum,S-743,15,22,37,37
Acholeplasma brassicae,ATCC 49388,19,18,30,37
Acholeplasma entomophilum,ATCC 43706,9,23,30,32
Acholeplasma granularum,BTS-39,15,22,37,37
Acholeplasma hippikon,C1,15,22,35,37
Acholeplasma laidlawii,PG8,21,20,37,41
Acholeplasma modicum,PG49,15,22,35,37
Acholeplasma morum,72-043,14,23,35,37
Acholeplasma palmae,J233,19,18,30,37
Acholeplasma parvum,H23M,15,22,30,37
Acholeplasma pleciae,PS-1,14,18,30,32
Acholeplasma seiffertii,F7,15,20,28,35
Acholeplasma seiflertii,,15,20,28,35
Acholeplasma vituli,FC 097-2,12,25,37,37
Achromobacter aloeverae,LMG 29108T,22,20,30,42
Achromobacter panacis,DCY105,36,4,30,40
Achromobacter piechaudii,CIP,19,18,28,37
Achromobacter sediminum,XH089T,38,4,28,42
Achromobacter veterisilvae,LMG 30378,41,4,28,45
Acidaminobacter hydrogenoformans,glu 65,27,15,30,42
Acidaminococcus fermentans,VR4,20,25,30,45
Acidaminococcus hominis,CGMCC 1,15,30,37,45
Acidaminococcus nyctereutis,LBK-2T,30,20,37,50
Acidianus ambivalens,Lei 10,17,70,80,87
Acidianus brierleyi,DSM 3191,30,45,70,75
Acidianus infernus,So4a,31,65,90,96
Acidianus manzaensis,NA-1,30,60,80,90
Acidianus sulfidivorans,DSM 18786T,38,45,74,83
Acidianus tengchongensis,S5,25,55,70,80
Acidibacillus ferrooxidans,SLC66,17,20,30,37
Acidibacillus sulfuroxidans,Y002,20,30,40,50
Acidibacter ferrireducens,MCF85,37,8,32,45
Acidibrevibacterium fodinaquatile,CGMCC 1,25,20,37,45
Acidicapsa acidiphila,MCF10,30,10,30,40
Acidicapsa acidisoli,DSM 100508T,25,10,25,35
Acidicapsa borealis,KA1,23,10,25,33
Acidicapsa borealis,DSM 23886T,23,10,22,33
Acidicapsa dinghuensis,CGMCC 1,25,12,30,37
Acidicapsa dinghuensis,4GSKX,25,12,25,37
Acidicapsa ferrireducens,MCF9,30,10,30,40
Acidicapsa ligni,,23,10,25,33
Acidicapsa ligni,WH120T,23,10,22,33
Acidiferrobacter thiooxydans,m-1,26,21,38,47
Acidihalobacter aeolianus,DSM 14174T,16,26,36,42
Acidihalobacter ferrooxydans,DSM 14175T,17,26,36,43
Acidihalobacter prosperus,DSM5130,18,23,37,41
Acidilobus aceticus,1904,32,60,85,92
Acidilobus saccharovorans,345-15T,30,60,82.5,90
Acidilobus saccharovorans,345-15,30,60,80,90
Acidilobus sulfurireducens,18D70,27,62,81,89
Acidiluteibacter ferrifornacis,JCM 33804T,32,10,35,42
Acidimangrovimonas sediminis,MS2-2T,25,16,34,41
Acidimicrobium ferrooxidans,ICP,23,34,48,57
Acidiphilium acidophilum,ATCC 27807,20,15,25,35
Acidiphilium cryptum,Lhet2,21,20,35,41
Acidiphilium iwatense,MS8,13,22,30,35
Acidiphilium multivorum,AIU 301,25,17,27,42
Acidiphilium organovorum,ATCC 43141,12,30,37,42
Acidiphilium rubrum,OP,20,15,25,35
Acidipila dinghuensis,CGMCC 1,27,10,28,37
Acidipila rosea,AP8,15,22,30,37
Acidiplasma aeolicum,DSM 18409T,50,15,45,65
Acidiplasma cupricumulans,BH2,41,22,53.6,63
Acidipropionibacterium damnosum,IGBL13,22,20,30,42
Acidipropionibacterium microaerophilum,M5,25,20,30,45
Acidipropionibacterium olivae,IGBL1,22,20,30,42
Acidipropionibacterium virtanenii,JS278,25,12,30,37
Acidisoma sibiricum,DSM 21000T,28,2,15,30
Acidisoma sibiricum,TPB606,28,2,20,30
Acidisoma tundrae,DSM 19999T,28,2,15,30
Acidisphaera rubrifaciens,HS-AP3,20,20,30,40
Aciditerrimonas ferrireducens,IC-180T,23,35,50,58
Acidithiobacillus acidisediminis,CGMCC 1,20,30,38,50
Acidithiobacillus caldus,KU,20,32,45,52
Acidithiobacillus ferrianus,MG,12,20,28,32
Acidithiobacillus ferridurans,JCM 18981,27,10,29,37
Acidithiobacillus ferriphilus,M20T,30,5,30,35
Acidithiobacillus ferriphilus,M20,28,5,30,33
Acidithiobacillus ferrivorans,NO-37,33,4,27,37
Acidithiobacillus ferrooxidans,ATCC 23270,27,10,30,37
Acidithiobacillus thiooxidans,ATCC 19377,27,10,28,37
Acidithrix ferrooxidans,PY-F3,20,10,20,30
Acidobacterium ailaaui,DSM 27394T,40,15,40,55
Acidocella aluminiidurans,AL46T,25,17,37,42
Acidocella aquatica,NBRC 112502T,31,4,28,35
Acidocella aromatica,PFBC,22.5,15,30,37.5
Acidothermus cellulolyticus,11B,28,37,55,65
Acidovorax caeni,R-24608,33,4,28,37
Acidovorax carolinensis,NA3,36,4,30,40
Acidovorax kalamii,KNDSW-TSA6,17,20,30,37
Acidovorax lacteus,M36,27,15,25,42
Acidovorax radicis,N35T,25,10,30,35
Acidovorax soli,BL21T,32,10,30,42
Acidovorax valerianellae,CFBP 4730,37,4,25,41
Aciduliprofundum boonei,T469,20,55,70,75
Acinetobacter antiviralis,KNF2022,32,10,30,42
Acinetobacter apis,HYN18,15,15,25,30
Acinetobacter baylyi,B2T,11,30,37,41
Acinetobacter bouvetii,,11,30,37,41
Acinetobacter defluvii,WCHA30T,17,20,30,37
Acinetobacter gerneri,,11,30,37,41
Acinetobacter grimontii,CCM 7198,11,30,37,41
Acinetobacter guangdongensis,1NM-4T,30,10,28,40
Acinetobacter guangdongensis,,30,10,29,40
Acinetobacter harbinensis,CGMCC 1,33,2,20,35
Acinetobacter indicus,A648T,40,4,28,44
Acinetobacter lactucae,NRRL B-41902,44,4,30,48
Acinetobacter larvae,JCM 31367T,35,10,30,45
Acinetobacter oleivorans,DR1,17,20,30,37
Acinetobacter piscicola,LW15T,28,4,25,32
Acinetobacter puyangensis,BQ4-1T,31,10,30,41
Acinetobacter qingfengensis,2BJ1T,16,25,30,41
Acinetobacter refrigeratoris,WB1,30,10,28,40
Acinetobacter rudis,G30T,27,10,30,37
Acinetobacter soli,B1,30,10,30,40
Acinetobacter towneri,,14,30,37,44
Acinetobacter variabilis,,19,25,41,44
Acinetobacter venetianus,RAG-1,7,30,30,37
Acrocarpospora macrocephala,,10,20,28,30
Acrocarpospora pleiomorpha,R-31,10,20,28,30
Actibacter haliotis,W113T,15,15,25,30
Actibacter sediminis,JC2129,42.5,5,30,50
Actibacter sediminis,KCTC 12704T,40,5,37,45
Actibacterium atlanticum,22II-S11-z10,31,10,28,41
Actibacterium mucosum,R46T,22,15,28,37
Actibacterium pelagium,JN33T,31,4,30,35
Actibacterium pelagium,JN33,25,10,30,35
Actibacterium ureilyticum,LS-811T,25,15,30,40
Actinaurispora siamensis,CM2-8,15,25,30,40
Actinoallomurus acaciae,GMKU 931T,29,12,29,41
Actinoallomurus acaciae,GMKU 931,29,12,28,41
Actinoallomurus acanthiterrae,2614A723,19,18,28,37
Actinoallomurus oryzae,GMKU 370,24,21,32,45
Actinoalloteichus hoggarensis,AH97,17,20,30,37
Actinoalloteichus nanshanensis,NEAU 119T,17,20,28,37
Actinoalloteichus spitiensis,RMV-1378,17,20,25,37
Actinobacillus capsulatus,P243,17,25,37,42
Actinobacillus lignieresii,ATCC 49236,19,20,37,39
Actinobacillus succinogenes,130ZT,2,37,37,39
Actinobacillus ureae,Henriksen 3520/59,15,25,37,40
Actinobaculum schaalii,CCUG 27420,13,30,37,43
Actinocatenispora rupis,CS5-AC17,17,25,37,42
Actinocatenispora sera,NBRC 101916T,24,13,25,37
Actinocatenispora sera,KV-744,24,13,18,37
Actinocatenispora thailandica,TT2-10,15,25,30,40
Actinocorallia aurantiaca,DSM 43924,20,10,25,30
Actinocorallia aurea,NBRC 14752,17,20,25,37
Actinocorallia cavernae,N3-7T,35,10,29,45
Actinocorallia glomerata,DSM 44360,34,7,28,41
