species_name,source_file,growth_temperature_combined,raw_output_combined,Tmin_list,Tmax_list,Topt_list,Tmin,Tmax,Topt
"""Candidatus Microthrix parvicella""",Blackall-1996-''Candidatus Microthrix parvicel,20 to 22°C,,20.0,22.0,,20,22,
"""Candidatus comitans""","Jacobi-1996-''Candidatus comitans'', bacterium",30,,,,30.0,,,30
A. atlantica,Akagawamatsushi-1992-Alteromonas-Atlantica Sp-,5 to 35°C,,5.0,35.0,,5,35,
A. birgiae,La Scola-2002-Description of Afipia birgiae sp,"25-30°C, no growth at 35°C, 37°C, 42°C",,25.0,30.0,,25,30,
A. carrageenovora,Akagawamatsushi-1992-Alteromonas-Atlantica Sp-,5-35°C,,5.0,35.0,,5,35,
A. massiliensis,La Scola-2002-Description of Afipia birgiae sp,"25-30°C, no growth at 35°C, 37°C, 42°C",,25.0,30.0,,25,30,
A. nasoniae,"Gherna-1991-Arsenophonus-Nasoniae Gen-Nov, Sp-",15-35°C (optimum 30°C),,15.0,35.0,30.0,15,35,30
A. popofii,"Huys-1997-Aeromonas popoffii sp. nov., a mesop",28-37°C,,28.0,37.0,,28,37,
AML-C10T,"Wise-2001-Methylosarcina fibrata gen. nov., sp",22-37°C,,22.0,37.0,,22,37,
AML-D4T,"Wise-2001-Methylosarcina fibrata gen. nov., sp",22-32°C,,22.0,32.0,,22,32,
Abiotrophia adiacens,Kawamura-1995-Transfer of Streptococcus-Adjace,Does not occur at 10 and 45°C,,,,10.0,,,10
Abiotrophia adiacens comb. nov.,Kawamura-1995-Transfer of Streptococcus-Adjace,37°C,,,,37.0,,,37
Abiotrophia balaenopterae,Lawson-1999-Abiotrophia balaenopterae sp. nov,37,,,,37.0,,,37
Abiotrophia defectiva,Kawamura-1995-Transfer of Streptococcus-Adjace,Does not occur at 10 and 45°C,,,,10.0,,,10
Abiotrophia defectiva comb. nov.,Kawamura-1995-Transfer of Streptococcus-Adjace,37°C,,,,37.0,,,37
Abyssivirga alkaniphila,Schouw-2016-Abyssivirga alkaniphila gen. nov,14-42°C (optimum 37°C) | 15-42°C (optimum 37°C) | 14-42°C | 15-42°C (optimal 37°C),,14.0,42.0,37.0,14,42,37
Acanthopleuribacter pedis,Fukunaga-2008-Acanthopleuribacter pedis gen. n,"15-30°C, optimum 30°C | 15-30°C (optimal 30°C)",,15.0,30.0,30.0,15,30,30
Acetanaerobacterium elongatum,Chen-2004-Acetanaerobacterium elongatum gen. n,20-42°C | 37,,20.0,42.0,37.0,20,42,37
Acetivibrio cellulosolvens,Khan-1984-Emendation of the Genus Acetivibrio,"35-37°C (optimum), no growth at 20 or 45°C",,35.0,37.0,,35,37,
Acetivibrio multivorans,"Tanaka-2000-Desulfovirga adipica gen. nov., sp",mesophilic,,,,,,,
Acetoanaerobium pronyense,"Bes-2015-Acetoanaerobium pronyense sp nov., an",35 °C (optimum) | 15-40 (35),,15.0,40.0,35.0,15,40,35
Acetobacter cerevisiae,Cleenwerck-2002-Re-examination of the genus Ac,28 °C,,,,28.0,,,28
Acetobacter diazotrophicus,Gillis-1989-Acetobacter-Diazotrophicus Sp-Nov,30,,,,30.0,,,30
Acetobacter fabarum,"Cleenwerck-2008-Acetobacter fabarum sp nov., a","28°C (optimal), weak growth at 37°C",,,37.0,28.0,,37,28
Acetobacter fabarum sp. nov.,"Cleenwerck-2008-Acetobacter fabarum sp nov., a","28°C (optimal), weak growth at 37°C",,,37.0,28.0,,37,28
Acetobacter ghanensis,Cleenwerck-2007-Acetobacter ghanensis sp nov,42 | 28,,28.0,42.0,,28,42,
Acetobacter malorum,Cleenwerck-2002-Re-examination of the genus Ac,28 °C,,,,28.0,,,28
Acetobacter musti,"Ferrer-2016-Acetobacter musti sp nov., isolate",28,,,,28.0,,,28
Acetobacter nitrogenifigens,Dutta-2006-Novel nitrogen-fixing Acetobacter n,30 | 30 °C,,,,30.0,,,30
Acetobacter senegalensis,Cleenwerck-2009-Differentiation of species of,thermotolerant,,,,,,,
Acetobacter sicerae,"Li-2014-Acetobacter sicerae sp nova, isolated",30 | 28°C | 28,,,,30.0,,,30
Acetobacterium bakii,Willems-1996-Phylogenetic relationships of the,psychrophilic,,,,,,,
Acetobacterium fimetarium,Willems-1996-Phylogenetic relationships of the,psychrophilic,,,,,,,
